ClosestCity,Mag20,Mag25,Mag30,Mag35,Mag40,Mag45,Mag50,Mag55,Mag60,Mag65,Mag70,Mag75,Mag80,Mag85,Mag90
Anaheim,2500.0,0.5494505494505495,2.1739130434782608,5.0,16.666666666666668,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Antelope Peak NV,2500.0,2.0833333333333335,3.3333333333333335,3.5714285714285716,16.666666666666668,16.666666666666668,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Avenal CA,2500.0,0.027578599007170437,0.06720430107526881,0.19607843137254902,0.5813953488372093,2.272727272727273,7.142857142857143,16.666666666666668,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
Azusa,2500.0,0.6493506493506493,3.125,7.142857142857143,25.0,2500.0,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Bakersfield,2500.0,0.0859106529209622,0.31446540880503143,1.25,2.9411764705882355,7.142857142857143,16.666666666666668,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Barstow CA,2500.0,0.03073140749846343,0.14836795252225518,0.5208333333333334,1.6666666666666667,5.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Battle Mtn NV,2500.0,0.6410256410256411,0.9433962264150944,2.0833333333333335,8.333333333333334,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Bishop,2500.0,0.010736525660296328,0.022789425706472195,0.0651890482398957,0.2347417840375587,0.7142857142857143,3.8461538461538463,5.0,8.333333333333334,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Bonne Claire NV,2500.0,0.12285012285012285,0.3448275862068966,1.1627906976744187,2.5,4.545454545454546,4.545454545454546,12.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Chico,2500.0,0.34965034965034963,0.8620689655172413,7.142857142857143,25.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Crystal Springs NV,2500.0,0.32679738562091504,0.819672131147541,1.25,3.8461538461538463,12.5,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Death Valley,2500.0,0.47619047619047616,1.9230769230769231,10.0,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
El Centro CA,2500.0,0.011896264572924102,0.03351206434316354,0.1016260162601626,0.43859649122807015,1.0416666666666667,6.25,16.666666666666668,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
Escondido,2500.0,0.1529051987767584,0.6172839506172839,1.7857142857142858,10.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Eureka CA,2500.0,0.06544502617801047,0.18867924528301888,0.5319148936170213,1.9230769230769231,6.25,25.0,50.0,50.0,2500.0,50.0,2500.0,2500.0,2500.0,2500.0
Fallon NV,2500.0,0.49019607843137253,1.5151515151515151,2.9411764705882355,16.666666666666668,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Fort Irwin CA,2500.0,0.06640106241699867,0.25773195876288657,1.1111111111111112,2.272727272727273,7.142857142857143,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Fremont,2500.0,0.3424657534246575,1.5625,5.555555555555555,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Fresno,2500.0,0.4854368932038835,1.6129032258064515,4.166666666666667,25.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Glendale,2500.0,1.3888888888888888,2.0833333333333335,25.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Hamilton NV,2500.0,0.5882352941176471,1.1363636363636365,2.7777777777777777,5.555555555555555,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Hawthorne NV,2500.0,0.0327653997378768,0.08517887563884156,0.228310502283105,0.6410256410256411,1.6666666666666667,5.555555555555555,12.5,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
Hayfork Ca,2500.0,0.1466275659824047,0.4166666666666667,1.0638297872340425,5.0,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Hemet,2500.0,0.06765899864682003,0.2564102564102564,1.1111111111111112,5.555555555555555,16.666666666666668,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Honey Lake CA,2500.0,0.07278020378457059,0.18382352941176472,0.6329113924050633,1.6129032258064515,5.0,16.666666666666668,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Irvine,2500.0,0.9433962264150944,3.125,12.5,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Jarbridge NV,2500.0,0.28901734104046245,0.5050505050505051,1.4285714285714286,2.9411764705882355,12.5,50.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Kernville,2500.0,0.05875440658049354,0.2145922746781116,0.8620689655172413,3.8461538461538463,50.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
King City NV,2500.0,0.020833333333333332,0.06060606060606061,0.2032520325203252,0.847457627118644,3.8461538461538463,12.5,2500.0,2500.0,50.0,2500.0,2500.0,2500.0,2500.0,2500.0
